time,enrolled,available,waitlisted,total
2023-11-13T04:33:24,0,300,0,300
2023-11-13T04:49:28,0,300,0,300
2023-11-13T05:05:14,0,300,0,300
2023-11-13T05:20:57,0,300,0,300
2023-11-13T05:36:40,0,300,0,300
2023-11-13T05:52:24,0,300,0,300
2023-11-13T06:08:12,0,300,0,300
2023-11-13T06:23:54,0,300,0,300
2023-11-13T06:39:37,0,300,0,300
2023-11-13T06:55:18,0,300,0,300
2023-11-13T07:11:00,0,300,0,300
2023-11-13T07:26:39,0,300,0,300
2023-11-13T07:42:19,0,300,0,300
2023-11-13T07:57:58,0,300,0,300
2023-11-13T08:13:37,0,300,0,300
2023-11-13T08:29:25,0,300,0,300
2023-11-13T08:45:04,0,300,0,300
2023-11-13T09:00:43,0,300,0,300
2023-11-13T09:16:21,0,300,0,300
2023-11-13T09:32:00,0,300,0,300
2023-11-13T09:47:39,0,300,0,300
2023-11-13T10:03:30,0,300,0,300
2023-11-13T10:19:09,0,300,0,300
2023-11-13T10:34:48,0,300,0,300
2023-11-13T10:50:26,0,300,0,300
2023-11-13T11:06:18,0,300,0,300
2023-11-13T11:21:57,0,300,0,300
2023-11-13T11:37:36,0,300,0,300
2023-11-13T11:53:26,0,300,0,300
2023-11-13T12:09:11,0,300,0,300
2023-11-13T12:25:03,0,300,0,300
2023-11-13T12:40:43,0,300,0,300
2023-11-13T12:56:22,0,300,0,300
2023-11-13T13:12:11,0,300,0,300
2023-11-13T13:27:51,0,300,0,300
2023-11-13T13:43:32,0,300,0,300
2023-11-13T13:59:11,0,300,0,300
2023-11-13T14:15:03,0,300,0,300
2023-11-13T14:30:44,0,300,0,300
2023-11-13T14:46:26,0,300,0,300
2023-11-13T15:02:22,0,300,0,300
2023-11-13T15:18:04,0,300,0,300
2023-11-13T15:33:57,0,300,0,300
2023-11-13T15:49:40,0,300,0,300
2023-11-13T16:05:21,0,300,0,300
2023-11-13T16:21:14,0,300,0,300
2023-11-13T16:36:56,0,300,0,300
2023-11-13T16:52:38,0,300,0,300
2023-11-13T17:08:21,0,300,0,300
2023-11-13T17:24:15,0,300,0,300
2023-11-13T17:39:57,0,300,0,300
2023-11-13T17:55:39,0,300,0,300
